date,total_people
2022-07-01,435062
2022-07-02,501883
2022-07-03,386038
2022-07-04,356396
2022-07-05,370637
2022-07-06,423220
2022-07-07,390030
2022-07-08,379723
2022-07-09,458521
2022-07-10,372983
2022-07-11,295108
2022-07-12,284010
2022-07-13,342126
2022-07-14,367252
2022-07-15,459686
2022-07-16,471033
2022-07-17,353027
2022-07-18,322024
2022-07-19,394150
2022-07-20,386373
2022-07-21,358685
2022-07-22,416838
2022-07-23,371336
2022-07-24,406977
2022-07-25,274106
2022-07-26,316316
2022-07-27,340569
2022-07-28,334858
2022-07-29,405511
2022-07-30,462115
2022-07-31,327383
