date,is_lockdown
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,1
2020-04-30,1
2020-05-01,1
2020-05-02,1
2020-05-03,1
2020-05-04,1
2020-05-05,1
2020-05-06,1
2020-05-07,1
2020-05-08,1
2020-05-09,1
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-07-08,1
2020-07-09,1
2020-07-10,1
2020-07-11,1
2020-07-12,1
2020-07-13,1
2020-07-14,1
2020-07-15,1
2020-07-16,1
2020-07-17,1
2020-07-18,1
2020-07-19,1
2020-07-20,1
2020-07-21,1
2020-07-22,1
2020-07-23,1
2020-07-24,1
2020-07-25,1
2020-07-26,1
2020-07-27,1
2020-07-28,1
2020-07-29,1
2020-07-30,1
2020-07-31,1
2020-08-01,1
2020-08-02,1
2020-08-03,1
2020-08-04,1
2020-08-05,1
2020-08-06,1
2020-08-07,1
2020-08-08,1
2020-08-09,1
2020-08-10,1
2020-08-11,1
2020-08-12,1
2020-08-13,1
2020-08-14,1
2020-08-15,1
2020-08-16,1
2020-08-17,1
2020-08-18,1
2020-08-19,1
2020-08-20,1
2020-08-21,1
2020-08-22,1
2020-08-23,1
2020-08-24,1
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-28,1
2020-08-29,1
2020-08-30,1
2020-08-31,1
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-04,1
2020-09-05,1
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-11,1
2020-09-12,1
2020-09-13,1
2020-09-14,1
2020-09-15,1
2020-09-16,1
2020-09-17,1
2020-09-18,1
2020-09-19,1
2020-09-20,1
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-24,1
2020-09-25,1
2020-09-26,1
2020-09-27,1
2020-09-28,1
2020-09-29,1
2020-09-30,1
2020-10-01,1
2020-10-02,1
2020-10-03,1
2020-10-04,1
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-08,1
2020-10-09,1
2020-10-10,1
2020-10-11,1
2020-10-12,1
2020-10-13,1
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-17,1
2020-10-18,1
2020-10-20,1
2020-10-21,1
2020-10-22,1
2020-10-23,1
2020-10-24,1
2020-10-27,1
2021-02-13,1
2021-02-14,1
2021-02-15,1
2021-02-16,1
2021-02-17,1
2021-05-28,1
2021-05-29,1
2021-05-30,1
2021-05-31,1
2021-06-01,1
2021-06-02,1
2021-06-03,1
2021-06-04,1
2021-06-05,1
2021-06-06,1
2021-06-07,1
2021-06-08,1
2021-06-09,1
2021-06-10,1
2021-07-16,1
2021-07-17,1
2021-07-18,1
2021-07-19,1
2021-07-20,1
2021-07-21,1
2021-07-22,1
2021-07-23,1
2021-07-24,1
2021-07-25,1
2021-07-26,1
2021-07-27,1
2021-08-06,1
2021-08-07,1
2021-08-08,1
2021-08-09,1
2021-08-10,1
2021-08-11,1
2021-08-12,1
2021-08-13,1
2021-08-14,1
2021-08-15,1
2021-08-16,1
2021-08-17,1
2021-08-18,1
2021-08-19,1
2021-08-20,1
2021-08-21,1
2021-08-22,1
2021-08-23,1
2021-08-24,1
2021-08-25,1
2021-08-26,1
2021-08-27,1
2021-08-28,1
2021-08-29,1
2021-08-30,1
2021-08-31,1
2021-09-01,1
2021-09-02,1
2021-09-03,1
2021-09-04,1
2021-09-05,1
2021-09-06,1
2021-09-07,1
2021-09-08,1
2021-09-09,1
2021-09-10,1
2021-09-11,1
2021-09-12,1
2021-09-13,1
2021-09-14,1
2021-09-15,1
2021-09-16,1
2021-09-17,1
2021-09-18,1
2021-09-19,1
2021-09-20,1
2021-09-21,1
2021-09-22,1
2021-09-23,1
2021-09-24,1
2021-09-25,1
2021-09-26,1
2021-09-27,1
2021-09-28,1
2021-09-29,1
2021-09-30,1
2021-10-01,1
2021-10-02,1
2021-10-03,1
2021-10-04,1
2021-10-05,1
2021-10-06,1
2021-10-07,1
2021-10-08,1
2021-10-09,1
2021-10-10,1
2021-10-11,1
2021-10-12,1
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-16,1
2021-10-17,1
2021-10-18,1
2021-10-19,1
2021-10-20,1
2021-10-21,1
