date,Original_Turnover,Seasonally_Adjusted_Turnover,Trend_Turnover
2013-01-01,5274,5364.9,5362.4
2013-02-01,4748.3,5407.4,5374
2013-03-01,5283.1,5383.7,5383
2013-04-01,5106.1,5366.6,5390.2
2013-05-01,5280.5,5409.7,5398.2
2013-06-01,5154.2,5412.4,5411.8
2013-07-01,5221,5423.8,5433.8
2013-08-01,5387.6,5454.4,5465.2
2013-09-01,5262.9,5513.7,5504.6
2013-10-01,5618.7,5532.4,5546.7
2013-11-01,5881.1,5601.7,5587.9
2013-12-01,7356.6,5669.9,5672.8
2014-01-01,5654.3,5721.8,5698.5
2014-02-01,5033.2,5720.4,5714
2014-03-01,5560.5,5702.7,5723.7
2014-04-01,5492.2,5753.9,5734.1
2014-05-01,5598.7,5723.2,5749.9
2014-06-01,5464,5756.1,5772.5
2014-07-01,5614.7,5797.7,5797.9
2014-08-01,5685.7,5851.7,5821
2014-09-01,5689.1,5897.8,5884.8
2014-10-01,6023.4,5897.2,5899.2
2014-11-01,6151.9,5896.7,5912.3
2014-12-01,7645.5,5904,5926.9
2015-01-01,5904.7,5953.3,5945.4
2015-02-01,5283.1,5990.8,5967
2015-03-01,5887.7,5984,5989.2
2015-04-01,5726.7,6017.1,6011.7
2015-05-01,5838.6,6028.3,6037.3
2015-06-01,5777.1,6057.8,6069.2
2015-07-01,5914.6,6097.3,6108.2
2015-08-01,5938.6,6152.3,6151.3
2015-09-01,5985.7,6206.8,6192.1
2015-10-01,6396.2,6239.3,6226.3
2015-11-01,6507.8,6250.7,6252.1
2015-12-01,8159.5,6269,6269.3
2016-01-01,6168.4,6273.9,6281.4
2016-02-01,5740.6,6282.1,6290
2016-03-01,6179.5,6317.3,6294.8
2016-04-01,6088,6289.2,6298.6
2016-05-01,6083.8,6314.7,6305.2
2016-06-01,6072.5,6324.5,6318.4
2016-07-01,6059.4,6288.7,6339.8
2016-08-01,6127.3,6357.7,6369.2
2016-09-01,6270.8,6455.2,6402.3
2016-10-01,6508.1,6423,6432
2016-11-01,6752.1,6462.1,6453.1
2016-12-01,8457.6,6464.4,6467.8
2017-01-01,6355.5,6504,6480.5
2017-02-01,5710.5,6455.5,6498
2017-03-01,6412.4,6503.8,6523.7
2017-04-01,6286,6556.5,6552.3
2017-05-01,6396.5,6618.1,6576.4
2017-06-01,6368.2,6594.4,6593.3
2017-07-01,6347.9,6622.4,6604.5
2017-08-01,6389.1,6598.7,6614.8
2017-09-01,6368.9,6595.2,6631
2017-10-01,6727.1,6649.9,6658.3
2017-11-01,7150.7,6769.3,6695.3
2017-12-01,8757,6766.4,6735.7
2018-01-01,6602.5,6757.3,6773.6
2018-02-01,6039.6,6822.7,6806.9
2018-03-01,6821.8,6824.2,6835.8
2018-04-01,6517.3,6871.5,6864.1
2018-05-01,6698.5,6877.2,6896.8
2018-06-01,6704.9,6946.2,6935.3
2018-07-01,6657.5,6962.3,6976.8
2018-08-01,6793.4,7008.3,7015.2
2018-09-01,6757.1,7058.9,7045.5
2018-10-01,7169.5,7104.8,7065.8
2018-11-01,7511.7,7071.7,7077
2018-12-01,9118.5,7067.5,7082.5
2019-01-01,6926.8,7059.9,7088.3
2019-02-01,6292.9,7108.9,7098.4
2019-03-01,7035.3,7142.7,7115.4
2019-04-01,6825.2,7097.4,7138.9
2019-05-01,7014.1,7181.5,7163.6
2019-06-01,6906.9,7186.9,7185.5
2019-07-01,6886.1,7204.8,
2019-08-01,7046.9,7233.2,
2019-09-01,6890.5,7243.3,
2019-10-01,7304.3,7211.3,
2019-11-01,7716,7278.5,
2019-12-01,9376.9,7279.2,
2020-01-01,7121.9,7252.9,
2020-02-01,6696.7,7287.2,
2020-03-01,7653.1,7786.5,
2020-04-01,5946.7,6187.4,
2020-05-01,7054.6,7231.6,
2020-06-01,7237.1,7508.2,
2020-07-01,7130.8,7428,
2020-08-01,6236.5,6495.9,
2020-09-01,6212.8,6474.9,
2020-10-01,6925.3,6796,
2020-11-01,8725.1,8289.9,
2020-12-01,10012.4,7731.3,
2021-01-01,7636.5,7793.3,
2021-02-01,6701.3,7558.4,
2021-03-01,7800,7797.9,
2021-04-01,7539.6,7905.8,
2021-05-01,7640.1,7840.4,
2021-06-01,7257.9,7556.3,
2021-07-01,7380.2,7655.1,
2021-08-01,7122.4,7447.3,
2021-09-01,7022.4,7319.6,
2021-10-01,7576.3,7504.8,
2021-11-01,9461.4,8940.8,
2021-12-01,10706.7,8247.2,
2022-01-01,8227.2,8408,
2022-02-01,7566,8547,
2022-03-01,8496,8594.1,
2022-04-01,8407.6,8690.1,
2022-05-01,8561.4,8791.9,
2022-06-01,8473.5,8790.2,
2022-07-01,8562.7,8947.3,
